	_id	aproxlinkstart	link	ltt	travel_id	trip_id	headway
7	5c76ed6abd8143570f3c4e60	2017-07-05 06:04:01	(3876, 3877)	64.46500967659279	7095	2005-10-0	204
8	5c76ed6abd8143570f3c4e61	2017-07-05 06:24:09	(3876, 3877)	58.765129520067376	7096	2005-10-0	1208
9	5c76ed6abd8143570f3c4e62	2017-07-05 06:26:59	(3876, 3877)	55.44835561223806	7097	2005-10-0	170
10	5c76ed6abd8143570f3c4e63	2017-07-05 06:40:41	(3876, 3877)	58.44288822715987	7098	2005-10-0	822
11	5c76ed6abd8143570f3c4e64	2017-07-05 06:55:13	(3876, 3877)	90.47267058940633	7099	2005-10-0	872
12	5c76ed6abd8143570f3c4e65	2017-07-05 07:05:22	(3876, 3877)	75.85917499565085	7100	2005-10-0	609
13	5c76ed6abd8143570f3c4e66	2017-07-05 07:06:02	(3876, 3877)	61.88889980303793	7101	2005-10-0	40
14	5c76ed6abd8143570f3c4e67	2017-07-05 07:17:01	(3876, 3877)	65.07710656844233	7102	2005-10-0	659
15	5c76ed6abd8143570f3c4e68	2017-07-05 07:38:59	(3876, 3877)	73.20144577722067	7103	2005-10-0	1318
16	5c76ed6abd8143570f3c4e69	2017-07-05 07:46:04	(3876, 3877)	91.48013352023145	7104	2005-10-0	425
17	5c76ed6abd8143570f3c4e6a	2017-07-05 07:53:22	(3876, 3877)	88.27342352479945	7105	2005-10-0	438
18	5c76ed6abd8143570f3c4e6b	2017-07-05 08:15:53	(3876, 3877)	59.63036610212123	7106	2005-10-0	1351
19	5c76ed6abd8143570f3c4e6c	2017-07-05 09:06:53	(3876, 3877)	67.66327874358706	7107	2005-10-0	3060
20	5c76ed6abd8143570f3c4e6d	2017-07-05 09:08:38	(3876, 3877)	82.18358233258039	7108	2005-10-0	105
22	5c76ed6abd8143570f3c4e6f	2017-07-05 10:18:21	(3876, 3877)	61.03496728114824	7110	2005-10-0	3191
23	5c76ed6abd8143570f3c4e70	2017-07-05 10:32:23	(3876, 3877)	111.52907145100983	7111	2005-10-0	842
24	5c76ed6abd8143570f3c4e71	2017-07-05 10:45:26	(3876, 3877)	91.02168200268932	7112	2005-10-0	783
25	5c76ed6abd8143570f3c4e72	2017-07-05 10:54:12	(3876, 3877)	132.8966087068202	7113	2005-10-0	526
26	5c76ed6abd8143570f3c4e73	2017-07-05 11:25:13	(3876, 3877)	49.15887319118701	7114	2005-10-0	1861
27	5c76ed6abd8143570f3c4e74	2017-07-05 11:49:37	(3876, 3877)	98.67316039846582	7115	2005-10-0	1464
28	5c76ed6abd8143570f3c4e75	2017-07-05 12:07:11	(3876, 3877)	100.8307899790783	7116	2005-10-0	1054
29	5c76ed6abd8143570f3c4e76	2017-07-05 12:14:12	(3876, 3877)	102.85580744962112	7117	2005-10-0	421
30	5c76ed6abd8143570f3c4e77	2017-07-05 12:48:10	(3876, 3877)	137.1560233723991	7118	2005-10-0	2038
31	5c76ed6abd8143570f3c4e78	2017-07-05 12:56:00	(3876, 3877)	93.75014507878689	7119	2005-10-0	470
32	5c76ed6abd8143570f3c4e79	2017-07-05 13:42:24	(3876, 3877)	135.5701922600981	7120	2005-10-0	2784
34	5c76ed6abd8143570f3c4e7b	2017-07-05 14:02:59	(3876, 3877)	92.7708491342064	7122	2005-10-0	573
35	5c76ed6abd8143570f3c4e7c	2017-07-05 14:32:28	(3876, 3877)	138.21967585499726	7123	2005-10-0	1769
36	5c76ed6abd8143570f3c4e7d	2017-07-05 15:07:45	(3876, 3877)	85.85236796660269	7124	2005-10-0	2117
37	5c76ed6abd8143570f3c4e7e	2017-07-05 15:53:26	(3876, 3877)	81.85870087764874	7125	2005-10-0	2741
38	5c76ed6abd8143570f3c4e7f	2017-07-05 18:25:33	(3876, 3877)	65.04729462014404	7126	2005-10-0	9127
39	5c76ed6abd8143570f3c4e80	2017-07-05 19:13:33	(3876, 3877)	45.4927273937048	7127	2005-10-0	2880
40	5c76ed6abd8143570f3c4e81	2017-07-05 20:26:35	(3876, 3877)	95.37248091000515	7128	2005-10-0	4382
41	5c76ed6abd8143570f3c4e82	2017-07-05 21:08:02	(3876, 3877)	94.81857346440808	7129	2005-10-0	2487
42	5c76ed6abd8143570f3c4e83	2017-07-05 21:39:09	(3876, 3877)	113.80632168035356	7130	2005-10-0	1867
